TYPE,N,THREADS,TIME (MICROSECONDES)
norm,32000,1,121
vectoriel 128,32000,1,46
vectoriel 256,32000,1,92
norm,32000,4,137
norm,32000,8,209
norm,32000,16,348
norm,32000,32,569
vectoriel 128,32000,4,70
vectoriel 128,32000,8,109
vectoriel 128,32000,16,203
vectoriel 128,32000,32,384
vectoriel 256,32000,4,74
vectoriel 256,32000,8,111
vectoriel 256,32000,16,243
vectoriel 256,32000,32,421
norm,320000,1,1352
vectoriel 128,320000,1,558
vectoriel 256,320000,1,845
norm,320000,4,406
norm,320000,8,472
norm,320000,16,466
norm,320000,32,660
vectoriel 128,320000,4,267
vectoriel 128,320000,8,251
vectoriel 128,320000,16,346
vectoriel 128,320000,32,610
vectoriel 256,320000,4,329
vectoriel 256,320000,8,241
vectoriel 256,320000,16,288
vectoriel 256,320000,32,473
norm,3200000,1,14809
vectoriel 128,3200000,1,5515
vectoriel 256,3200000,1,8981
norm,3200000,4,3961
norm,3200000,8,2721
norm,3200000,16,2605
norm,3200000,32,2734
vectoriel 128,3200000,4,2237
vectoriel 128,3200000,8,1422
vectoriel 128,3200000,16,2028
vectoriel 128,3200000,32,2541
vectoriel 256,3200000,4,3950
vectoriel 256,3200000,8,2350
vectoriel 256,3200000,16,2452
vectoriel 256,3200000,32,2917
norm,32000000,1,149641
vectoriel 128,32000000,1,59051
vectoriel 256,32000000,1,97665
norm,32000000,4,53663
norm,32000000,8,32836
norm,32000000,16,29914
norm,32000000,32,26299
vectoriel 128,32000000,4,29577
vectoriel 128,32000000,8,15458
vectoriel 128,32000000,16,13350
vectoriel 128,32000000,32,9748
vectoriel 256,32000000,4,27781
vectoriel 256,32000000,8,21345
vectoriel 256,32000000,16,18059
vectoriel 256,32000000,32,15104
norm,320000000,1,1427400
vectoriel 128,320000000,1,542520
vectoriel 256,320000000,1,918371
norm,320000000,4,378664
norm,320000000,8,273812
norm,320000000,16,239749
norm,320000000,32,249403
vectoriel 128,320000000,4,155182
vectoriel 128,320000000,8,112666
vectoriel 128,320000000,16,105695
vectoriel 128,320000000,32,171125
vectoriel 256,320000000,4,291207
vectoriel 256,320000000,8,221735
vectoriel 256,320000000,16,248622
vectoriel 256,320000000,32,150892
norm,32000,1,137
vectoriel 128,32000,1,45
vectoriel 256,32000,1,104
norm,32000,4,148
norm,32000,8,173
norm,32000,16,446
norm,32000,32,693
vectoriel 128,32000,4,78
vectoriel 128,32000,8,182
vectoriel 128,32000,16,301
vectoriel 128,32000,32,569
vectoriel 256,32000,4,118
vectoriel 256,32000,8,137
vectoriel 256,32000,16,324
vectoriel 256,32000,32,508
norm,320000,1,2187
vectoriel 128,320000,1,749
vectoriel 256,320000,1,1802
norm,320000,4,664
norm,320000,8,656
norm,320000,16,565
norm,320000,32,810
vectoriel 128,320000,4,371
vectoriel 128,320000,8,279
vectoriel 128,320000,16,388
vectoriel 128,320000,32,732
vectoriel 256,320000,4,437
vectoriel 256,320000,8,352
vectoriel 256,320000,16,387
vectoriel 256,320000,32,944
norm,3200000,1,23996
vectoriel 128,3200000,1,10339
vectoriel 256,3200000,1,16639
norm,3200000,4,5528
norm,3200000,8,3685
norm,3200000,16,3856
norm,3200000,32,3992
vectoriel 128,3200000,4,2465
vectoriel 128,3200000,8,2425
vectoriel 128,3200000,16,2229
vectoriel 128,3200000,32,2306
vectoriel 256,3200000,4,4920
vectoriel 256,3200000,8,3219
vectoriel 256,3200000,16,2823
vectoriel 256,3200000,32,2552
norm,32000000,1,190808
vectoriel 128,32000000,1,87326
vectoriel 256,32000000,1,118918
norm,32000000,4,52783
norm,32000000,8,37105
norm,32000000,16,42778
norm,32000000,32,36230
vectoriel 128,32000000,4,34569
vectoriel 128,32000000,8,19767
vectoriel 128,32000000,16,15964
vectoriel 128,32000000,32,15893
vectoriel 256,32000000,4,54080
vectoriel 256,32000000,8,24844
vectoriel 256,32000000,16,22412
vectoriel 256,32000000,32,19756
norm,320000000,1,1775282
vectoriel 128,320000000,1,567178
vectoriel 256,320000000,1,1129815
norm,320000000,4,439838
norm,320000000,8,263760
norm,320000000,16,242490
norm,320000000,32,246377
vectoriel 128,320000000,4,138332
vectoriel 128,320000000,8,113399
vectoriel 128,320000000,16,104282
vectoriel 128,320000000,32,92143
vectoriel 256,320000000,4,210301
vectoriel 256,320000000,8,151348
vectoriel 256,320000000,16,130958
vectoriel 256,320000000,32,132786
norm,32000,1,124
vectoriel 128,32000,1,46
vectoriel 256,32000,1,78
norm,32000,4,108
norm,32000,8,122
norm,32000,16,243
norm,32000,32,693
vectoriel 128,32000,4,85
vectoriel 128,32000,8,218
vectoriel 128,32000,16,334
vectoriel 128,32000,32,483
vectoriel 256,32000,4,104
vectoriel 256,32000,8,204
vectoriel 256,32000,16,337
vectoriel 256,32000,32,646
norm,320000,1,1626
vectoriel 128,320000,1,546
vectoriel 256,320000,1,918
norm,320000,4,447
norm,320000,8,429
norm,320000,16,479
norm,320000,32,644
vectoriel 128,320000,4,302
vectoriel 128,320000,8,312
vectoriel 128,320000,16,376
vectoriel 128,320000,32,822
vectoriel 256,320000,4,448
vectoriel 256,320000,8,321
vectoriel 256,320000,16,336
vectoriel 256,320000,32,612
norm,3200000,1,13953
vectoriel 128,3200000,1,5638
vectoriel 256,3200000,1,9514
norm,3200000,4,4129
norm,3200000,8,3510
norm,3200000,16,4452
norm,3200000,32,5029
vectoriel 128,3200000,4,3118
vectoriel 128,3200000,8,1826
vectoriel 128,3200000,16,1741
vectoriel 128,3200000,32,1748
vectoriel 256,3200000,4,3026
vectoriel 256,3200000,8,2013
vectoriel 256,3200000,16,2300
vectoriel 256,3200000,32,2062
norm,32000000,1,142683
vectoriel 128,32000000,1,65873
vectoriel 256,32000000,1,110845
norm,32000000,4,63426
norm,32000000,8,44460
norm,32000000,16,34689
norm,32000000,32,38066
vectoriel 128,32000000,4,23929
vectoriel 128,32000000,8,17586
vectoriel 128,32000000,16,17224
vectoriel 128,32000000,32,22994
vectoriel 256,32000000,4,33912
vectoriel 256,32000000,8,22327
vectoriel 256,32000000,16,26651
vectoriel 256,32000000,32,22872
norm,320000000,1,1886511
vectoriel 128,320000000,1,578028
vectoriel 256,320000000,1,883819
norm,320000000,4,356586
norm,320000000,8,280345
norm,320000000,16,257765
norm,320000000,32,247951
vectoriel 128,320000000,4,152961
vectoriel 128,320000000,8,115300
vectoriel 128,320000000,16,102216
vectoriel 128,320000000,32,123480
vectoriel 256,320000000,4,210403
vectoriel 256,320000000,8,164175
vectoriel 256,320000000,16,143088
vectoriel 256,320000000,32,145328
norm,32000,1,165
vectoriel 128,32000,1,66
vectoriel 256,32000,1,120
norm,32000,4,145
norm,32000,8,169
norm,32000,16,286
norm,32000,32,634
vectoriel 128,32000,4,129
vectoriel 128,32000,8,238
vectoriel 128,32000,16,325
vectoriel 128,32000,32,702
vectoriel 256,32000,4,176
vectoriel 256,32000,8,232
vectoriel 256,32000,16,356
vectoriel 256,32000,32,690
norm,320000,1,1499
vectoriel 128,320000,1,525
vectoriel 256,320000,1,876
norm,320000,4,416
norm,320000,8,563
norm,320000,16,510
norm,320000,32,646
vectoriel 128,320000,4,305
vectoriel 128,320000,8,280
vectoriel 128,320000,16,325
vectoriel 128,320000,32,558
vectoriel 256,320000,4,377
vectoriel 256,320000,8,320
vectoriel 256,320000,16,364
vectoriel 256,320000,32,652
norm,3200000,1,14752
vectoriel 128,3200000,1,5757
vectoriel 256,3200000,1,10063
norm,3200000,4,3883
norm,3200000,8,3608
norm,3200000,16,4394
norm,3200000,32,3690
vectoriel 128,3200000,4,1872
vectoriel 128,3200000,8,1382
vectoriel 128,3200000,16,1775
vectoriel 128,3200000,32,1674
vectoriel 256,3200000,4,2230
vectoriel 256,3200000,8,1880
vectoriel 256,3200000,16,1992
vectoriel 256,3200000,32,2127
norm,32000000,1,143680
vectoriel 128,32000000,1,61386
vectoriel 256,32000000,1,99595
norm,32000000,4,44417
norm,32000000,8,31962
norm,32000000,16,29899
norm,32000000,32,28128
vectoriel 128,32000000,4,15155
vectoriel 128,32000000,8,12182
vectoriel 128,32000000,16,10445
vectoriel 128,32000000,32,14534
vectoriel 256,32000000,4,22498
vectoriel 256,32000000,8,18089
vectoriel 256,32000000,16,17340
vectoriel 256,32000000,32,16289
norm,320000000,1,1934230
vectoriel 128,320000000,1,550919
vectoriel 256,320000000,1,926098
norm,320000000,4,364328
norm,320000000,8,287623
norm,320000000,16,266981
norm,320000000,32,264271
vectoriel 128,320000000,4,148614
vectoriel 128,320000000,8,118141
vectoriel 128,320000000,16,104446
vectoriel 128,320000000,32,102926
vectoriel 256,320000000,4,215815
vectoriel 256,320000000,8,154708
vectoriel 256,320000000,16,149415
vectoriel 256,320000000,32,141575
norm,32000,1,150
vectoriel 128,32000,1,48
vectoriel 256,32000,1,81
norm,32000,4,122
norm,32000,8,139
norm,32000,16,252
norm,32000,32,434
vectoriel 128,32000,4,110
vectoriel 128,32000,8,138
vectoriel 128,32000,16,230
vectoriel 128,32000,32,550
vectoriel 256,32000,4,91
vectoriel 256,32000,8,139
vectoriel 256,32000,16,246
vectoriel 256,32000,32,461
norm,320000,1,1631
vectoriel 128,320000,1,696
vectoriel 256,320000,1,1056
